Firma Adı;Konum;Resim Yolu;Telefon;E-Posta;Hakkımızda;Kuruluş Yılı;Ücret Aralığı;Kapalı Alan;Açık Alan;Özellikler
Halley Kids Oyun Akademisi;Yıldırım / Bursa;kurum_galeri/halleykidsoyunakademisi_1770962068.jpg;+905374720403;iletisim@oyungruplari.com;"Halley Kids Oyun Akademisi – Bursa Yıldırım’ın En Eğlenceli Oyun Atölyesi Bursa Yıldırım ilçesinde ailelerin güvenle tercih ettiği Halley Kids Oyun Akademisi, çocuklara özel hazırlanan oyun atölyeleri ile eğitimi ve eğlenceyi bir araya getiriyor. Alanında uzman eğitmenler eşliğinde hazırlanan etkinlikler sayesinde çocuklar; yaratıcılıklarını geliştirme, sosyalleşme, özgüven kazanma ve motor becerilerini güçlendirme fırsatı buluyor. 📍 Konum avantajı sayesinde Yıldırım ve çevre ilçelerden kolay ulaşım imkânı sunan Halley Kids Oyun Akademisi, hem çocukların hem de ebeveynlerin keyifli zaman geçirebileceği, güvenli ve eğitici bir ortam sağlıyor. ✨ Atölye içerikleri: Eğitici ve eğlenceli oyun grupları Sanat, müzik ve el becerisi etkinlikleri Duyusal gelişim ve motor beceri çalışmaları Özel gün ve temalı atölyeler 👨";;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Pilates, Yoga, Dans, Koro, Muzik, Orff, Yaratıcı Drama, Kamera, Montesorri, Bank Street, Yabancı Dil, Kodlama, Satranç, Havuz, Bahce, Çocuk Parkı
Aymiss Kids Club;Bahçelievler / İstanbul;kurum_galeri/aymisskidsclub_1770962070.jpg;+905538261975;iletisim@oyungruplari.com;Aymiss Kids Club, 6 ay–5 yaş arası çocuklara ve ebeveynlerine yönelik sosyal etkileşim temelli etkinlikler sunan bir buluşma ve gelişim alanıdır. Çocukların akranlarıyla oyun yoluyla iletişim kurduğu, ebeveynlerin bilinçli eşlikçiler olarak süreçte yer aldığı, uzman gözetiminde yürütülen duyusal ve motor gelişimi destekleyici aktivitelerle hizmet verir. Aymiss, çocukların özgürce keşfedebileceği, annelerin de birlikte öğrenip güçlenebileceği sıcak ve güvenli bir ortam sunar.;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, Bahce
TheraKids Gelişim Atölyesi;İzmit / Kocaeli;kurum_galeri/therakidsgelişimatölyesi_1770962072.jpg;+905378225757;iletisim@oyungruplari.com;3-7 yaş arası çocuklar için oyunla gelişim fırsatı! TheraKids Oyun ve Gelişim Kulübü olarak, bu dönemde çocuklara bilimsel temelli oyun grupları sunuyoruz. Programlarımızda: • Theraplay destekli oyunlar • Dikkat ve odak geliştirme etkinlikleri • Duygusal ve sosyal beceri çalışmaları yer alır. Çocuklar burada eğlenirken, sırayla konuşma, dinleme, kendini ifade etme ve grup içinde uyum gibi beceriler kazanır.;;;;;3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Yabancı Dil
Sihirli Atölye;Ümraniye / İstanbul;kurum_galeri/sihirliatölye_1770962073.jpg;+905323177655;iletisim@oyungruplari.com;Sihirli atölye olarak İstanbul Ümraniye bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Ümraniye oyun grubu. İstanbul oyun grupları.;;;;;
NöroKeşif Zihin ve Beden Atölyesi;Maltepe / İstanbul;kurum_galeri/nörokeşifzihinvebedenatölyesi_1770962074.jpg;+905071252309;iletisim@oyungruplari.com;"NöroKeşif Zihin&Beden Atölyesi,  çocukların sinir sistemi gelişimini desteklemek amacıyla oyun temelli ve bilimsel yaklaşımları bir araya getiren bir terapi merkezidir. İstanbul Maltepe’de yer alan atölyemizde; fizyoterapist ve psikologlardan oluşan uzman ekibimizle, her çocuğun bireysel farklılıklarını göz önünde bulundurarak nörogelişimsel ihtiyaçlarını bütüncül bir yaklaşımla ele alıyoruz. Dikkat eksikliği ve hiperaktivite, öğrenme güçlüğü, uyum problemleri, otizm spektrum bozukluğu, konuşma ve yeme problemleri gibi pek çok alanda çocuklara destek oluyoruz. Hizmetlerimiz arasında nörogelişimsel değerlendirme ve rehabilitasyon, aile rehberliği, duyu bütünleme ve Floortime yaklaşımı yer almaktadır. Amacımız; çocukların beden ve zihin dengesini kurarak çevreyle sağlıklı ilişkiler geliştirdiği, güvenli ve destekleyici bir gelişim ortamı sunmak. Her çocuğun potansiyelini keşfetmesine alan açan bu yolculukta aileleri de sürece dahil ederek ilerliyoruz.";;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Aile Daışmanı, Psikolojik
Little Bee Çocuk Oyun Atölyesi;Bağcılar / İstanbul;kurum_galeri/littlebeeçocukoyunatölyesi_1770962076.jpg;+905102232508;iletisim@oyungruplari.com;Little Bee Çocuk Oyun Atölyesi olarak İstanbul Bağcılar bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Bağcılar oyun grubu. İstanbul oyun grupları.;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Güvenlik, Kamera, Waldorf, Aile Daışmanı, Psikolojik
Astro Kafe - Seyrek;Menemen / İzmir;kurum_galeri/astrokafeseyrek_1770962077.jpg;+905010227876;iletisim@oyungruplari.com;"Astro Kafe & Bar | İzmir - Seyrek Astro Kafe & Bar, gökyüzünün ilhamıyla tasarlanmış, çocuklu ailelerin ve astroloji meraklılarının keyifle vakit geçirebileceği özgün bir buluşma noktasıdır. Gündüzleri aile dostu atmosferiyle oyun gruplarına, atölyelere ve anne-çocuk etkinliklerine ev sahipliği yaparken; akşam saatlerinde yetişkinler için keyifli sohbetler, astrolojik workshoplar ve bar konseptiyle hizmet verir. 📍İzmir – Seyrek’te merkezi konumu, açık ve kapalı alanlarıyla konforlu bir ortam sunar. ☕ Kahve, atıştırmalık ve sağlıklı içecek alternatiflerinin yanı sıra alkollü içecek servisi de bulunmaktadır. 🔭 Astroloji temalı dekorasyon, özel doğum günü organizasyonları ve astro workshop’larla farklılaşır. 👶 Anne-bebek grupları, oyun saatleri ve özel etkinlikler için uygundur. Astro Kafe & Bar; sıcak, samimi ama profesyonel çizgisiyle hem ebeveynler hem çocuklar için alternatif bir sosyal alan yaratmayı amaçlamaktadır.";;;;;4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Pilates, Dans, Muzik, Yaratıcı Drama, Güvenlik, Kamera, Servis, Kodlama, Satranç, Bahce
Muzipokids Istanbul Eyupsultan;Eyüpsultan / İstanbul;kurum_galeri/muzipokidsistanbuleyupsultan_1770962078.jpg;+905334748517;iletisim@oyungruplari.com;Türkiye’nin ilk hareket üssü Eyüpsultan’da! 15-48 ay ebeveynli oyun grupları 3-5 yaş Muzip Saatler programı 5-12 yaş hareket grupları Çocuk Yogası Yaz Kulübü Doğumgünü-Organizasyon-Etkinlikler Profesyonel ekibimizle çocuklarımızın zamanını en verimli şekilde geçirmeleri için buradayız!;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Jimnastik, Yoga, Yüzme, Dans, Muzik, Orff, Yaratıcı Drama, Güvenlik, Kamera, Montesorri, Waldorf, Havuz, Konferans
Yeşil Kaktüs Oyun ve Sanat Atölyesi;Sancaktepe / İstanbul;kurum_galeri/yeşilkaktüsoyunvesanatatölyesi_1770962080.jpg;+905443544279;iletisim@oyungruplari.com;"Yeşil Kaktüs Oyun Evi, çocukların gelişimini destekleyen, eğitici ve yaratıcı etkinliklerle dolu bir atölye ortamı sunmak amacıyla kurulmuştur. Amacımız, çocukların güvenli, eğlenceli ve teşvik edici bir ortamda oyun oynayarak öğrenmelerini sağlamak, sosyal becerilerini geliştirmek ve özgüven kazanmalarına katkıda bulunmaktır. Atölyemizde, çocukların yaş ve gelişim seviyelerine uygun olarak hazırlanan çeşitli sanat çalışmaları, yaratıcı oyunlar ve grup etkinlikleriyle onların hayal gücünü, ince motor becerilerini ve iletişim yeteneklerini desteklemeye önem veriyoruz. Her çocuğun bireysel farklılıklarını gözeterek, onların kendilerini özgürce ifade edebilecekleri bir alan oluşturmayı hedefliyoruz. Yeşil Kaktüs, sadece bir oyun alanı değil; aynı zamanda çocukların gelişimini önemseyen, ebeveynlerle iş birliği içinde hareket eden bir eğitim ortamıdır.";;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, Muzik, Kamera, Montesorri, Bahce
Mini Çocuk Atölyesi;Altıeylül / Balıkesir;kurum_galeri/miniçocukatölyesi_1770962081.jpg;+905451341809;iletisim@oyungruplari.com;"💐 2-13 Yaş 🎨Çocuklar için sanat-resim atölyeleri 🧶 Çocuklar için örgü dikiş atölyeleri ✏️2-4 yaş aile katılımlı atölyeler 📌 INSTAGRAM SAYFAMIZDAN DETAYLI BİLGİYLE ULAŞABİLİRSİNİZ. ""Bu yaz tüm çocukların yazı"" diyerek buradayız. Yaz boyunca düzenleyeceğimiz çocuk atölyelerimizle çeşit çeşit resimden çeşit çeşit boyamaya, birçok figür ve birçok farklı ürünü kendi hayal gücünüzle şekillendirmeye, minik ellerin ortaya çıkaracağı muhteşem sanat eserlerine, bol kahkahalı, bol müzikli, çok eğlenceli bir yaza ve birçok yeni dostluğa kapı açacak, hep daha yenisiyle en iyisiyle sizinle olacağımız atölyelere hepinizi bekliyoruz.";;;;;2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Montesorri
Safe Zone Clinic;Üsküdar / İstanbul;kurum_galeri/safezoneclinic_1770962082.jpg;+905307415666;iletisim@oyungruplari.com;"Safe Zone Clinic, dört uzman klinik psikoloğun ortaklığında kurulan, bütüncül ve çağdaş yaklaşımları benimseyen bir psikolojik danışmanlık merkezidir.  Safe Zone Psikolojik Danışmanlık Merkezimizin misyonu, her bireyin içsel gücünü ve eşsiz potansiyelini ortaya çıkarmak için güvenli, kapsayıcı ve ilham verici bir alan sunmaktır. Biz, modern psikolojiyi kadim şifa gelenekleriyle buluşturduğumuz bu güvenli alanda, zihnin dinginliğini, bedenin enerjisini ve ruhun özgürlüğünü desteklemeyi amaçlıyoruz. Yoga, meditasyon, sanat atölyeleri, workshoplar ve çocuk terapisi gibi uygulamalarımızla, yaşamın her alanında denge, farkındalık ve dönüşüm sağlamayı hedefliyoruz. Safe Zone’da, her bireyin kendi güvenli alanını keşfederek gerçek huzura ulaşabileceğine inanıyoruz. Misyonumuz; insanların yaşam yolculuğunda, kalabalık ve karmaşadan uzak, samimi ve ilham dolu bir ortamda, kendilerini yeniden inşa edebilecekleri, iyileşebilecekleri ve evrimleşebilecekleri bir sığınak oluşturmaktır. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Üsküdar/Acıbadem oyun grubu. İstanbul oyun grupları.";;;;;2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Binicilik, Pilates, Yoga, Muzik, Yaratıcı Drama, Güvenlik, Kamera, Montesorri, Waldorf, Yabancı Dil, Satranç, Bahce, Konferans, Aile Daışmanı, Psikolojik
Gökçe Atölye;Tuzla / İstanbul;varsayilan.jpg;+905369211040;iletisim@oyungruplari.com;🌈EĞLENCELİ & GELİŞTİRİCİ ETKİNLİK SETLERİ 💜ÇOCUKLARA ÖZEL MOZAİK ATÖLYELERİ;;;;;4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş
Oyunova;Sincan / Ankara;kurum_galeri/oyunova_1770962085.jpg;+905350249322;iletisim@oyungruplari.com;Oyunova olarak Ankara Sincan bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Sincan oyun grubu. Ankara oyun grupları.;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Dans, Muzik, Güvenlik, Kamera, Montesorri, Bahce, Çocuk Parkı
Mutlu Bebekler;Bakırköy / İstanbul;varsayilan.jpg;+905526615235;iletisim@oyungruplari.com;Mutlu Bebekler olarak İstanbul Bakırköy bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Bakırköy oyun grubu. İstanbul oyun grupları.;;;;;0 - 2 Yaş
Çocuk Sanat Atölyeleri;Ümraniye / İstanbul;kurum_galeri/çocuksanatatölyeleri_1770962088.jpg;+905443346128;iletisim@oyungruplari.com;İstanbul Anadolu yakası açık alan çocuk sanat faaliyetleri;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Muzik, Orff, Yaratıcı Drama, Montesorri, Waldorf, Reggio Emilia, High Scope, Bahce, Çocuk Parkı
